Country,Political province/region,County,Mining area,Mining site,Add. information on mine,Latitude,Longitude,Location precision,Tectonic/geolog. super unit,Tectonic/geolog. unit,Tectonic/geolog. subunit,Deposit type,Metals,Minerals,Sample number,Geol. period,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/207Pb,208Pb/207Pb,204Pb/206Pb,207Pb/206Pb,208Pb/206Pb,Model_Age_SK75,mu_SK75,kappa_SK75,Model_Age_CR75,mu_CR75,kappa_CR75,Model_Age_AJ84,mu_AJ84,kappa_AJ84,Model_Age_ADB12,mu_ADB12,kappa_ADB12,Instrument used,year,doi,Reference,Note
Bosnia and Herzegovina [Bosna i Hercegovina / Босна и Херцеговина],Federation of Bosnia and Herzegovina [Federacija Bosne i Hercegovine],,Vareš,Veovača,Mean value,44.150835,18.365731,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Dinarides,Sedimentary-exhalative,Fe; Ba; Pb; Zn,galena,19,Middle Triassic,18.37,15.74,38.5,1.16709021601017,2.44599745870394,0.054436581382689,0.856831790963527,2.09580838323353,465.692,10.306,3.972,262.213,10.603,3.853,486.078,10.18,4.001,399.653,9.917,3.988,TIMS,1980,,"Kubat, I., Ramović, E., Tomčević, D., Pezdić, J., and Dolenac, T., 1979, The results of the investigation of S, O, C and Pb isotopic composition in some ore deposits and occurrences in Bosnia and Herzegovina, Geološki Glasnik, 24/25, 61–84.",Accuracy ± 50 m.y.
Bosnia and Herzegovina [Bosna i Hercegovina / Босна и Херцеговина],Federation of Bosnia and Herzegovina [Federacija Bosne i Hercegovine],,,Doljani,,43.696122,17.656031,Neighbouring (at village),TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Dinarides,Veins,Fe; Ba; Cu; Sb; Hg; As; Au,galena,17,Middle Triassic,18.57,15.75,38.77,1.17904761904762,2.4615873015873,0.053850296176629,0.848142164781906,2.08777598276791,342.647,10.293,3.986,145.056,10.666,3.847,361.928,10.167,4.013,273.725,9.913,3.998,TIMS,1980,,"Kubat, I., Ramović, E., Tomčević, D., Pezdić, J., and Dolenac, T., 1979, The results of the investigation of S, O, C and Pb isotopic composition in some ore deposits and occurrences in Bosnia and Herzegovina, Geološki Glasnik, 24/25, 61–84.",Accuracy ± 50 m.y.; unsure about deposit characteristics
Bosnia and Herzegovina [Bosna i Hercegovina / Босна и Херцеговина],Republika Srpska,,,Otoka,,44.889596,16.312812,Neighbouring (at village),TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Dinarides,Carbonate replacement (?),Fe; Ba; Pb; Zn,galena,18,Late Permian-Triassic,18.63,15.76,38.78,1.18210659898477,2.46065989847716,0.053676865271068,0.845947396672034,2.08158883521202,319.21,10.321,3.955,109.406,10.685,3.845,337.243,10.192,3.982,243.947,9.926,3.972,TIMS,1980,,"Kubat, I., Ramović, E., Tomčević, D., Pezdić, J., and Dolenac, T., 1979, The results of the investigation of S, O, C and Pb isotopic composition in some ore deposits and occurrences in Bosnia and Herzegovina, Geološki Glasnik, 24/25, 61–84.",Accuracy ± 50 m.y.; unsure about deposit characteristics
Bosnia and Herzegovina [Bosna i Hercegovina / Босна и Херцеговина],Federation of Bosnia and Herzegovina [Federacija Bosne i Hercegovine],,,Srednje,,43.995729,18.426011,Neighbouring (at village),TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Dinarides,Sedimentary-exhalative,Pb; Zn; Ba,galena,20,Middle Triassic,18.47,15.81,38.74,1.16824794433903,2.45034788108792,0.054141851651327,0.855982674607472,2.09745533297239,523.797,10.596,4.059,201.753,10.635,3.85,535.921,10.438,4.084,410.29,10.045,4.053,TIMS,1980,,"Kubat, I., Ramović, E., Tomčević, D., Pezdić, J., and Dolenac, T., 1979, The results of the investigation of S, O, C and Pb isotopic composition in some ore deposits and occurrences in Bosnia and Herzegovina, Geološki Glasnik, 24/25, 61–84.",Accuracy ± 50 m.y.
Bosnia and Herzegovina [Bosna i Hercegovina / Босна и Херцеговина],Federation of Bosnia and Herzegovina [Federacija Bosne i Hercegovine],,,Rogoj,,43.65182,18.466907,Neighbouring (at locality name),TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Dinarides,Veins,Pb,galena,21,Middle Triassic,18.14,15.48,37.93,1.171834625323,2.45025839793282,0.055126791620728,0.853362734288864,2.0909592061742,105.857,9.21,3.719,404.257,10.526,3.86,165.254,9.198,3.756,255.235,9.428,3.804,TIMS,1980,,"Kubat, I., Ramović, E., Tomčević, D., Pezdić, J., and Dolenac, T., 1979, The results of the investigation of S, O, C and Pb isotopic composition in some ore deposits and occurrences in Bosnia and Herzegovina, Geološki Glasnik, 24/25, 61–84.",Accuracy ± 50 m.y.; unsure about deposit characteristics
Bosnia and Herzegovina [Bosna i Hercegovina / Босна и Херцеговина],Republika Srpska,,,Šarulja,,43.599011,19.009008,Neighbouring (at locality name),TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Dinarides,Carbonate replacement,Pb,galena,22,,18.42,15.75,38.49,1.16952380952381,2.44380952380952,0.0542888165038,0.855048859934853,2.08957654723127,448.973,10.336,3.937,232.82,10.618,3.851,468.165,10.206,3.965,376.799,9.931,3.958,TIMS,1980,,"Kubat, I., Ramović, E., Tomčević, D., Pezdić, J., and Dolenac, T., 1979, The results of the investigation of S, O, C and Pb isotopic composition in some ore deposits and occurrences in Bosnia and Herzegovina, Geološki Glasnik, 24/25, 61–84.",Accuracy ± 50 m.y.; unsure about deposit characteristics
Bosnia and Herzegovina [Bosna i Hercegovina / Босна и Херцеговина],Republika Srpska,City of Prijedor [Grad Prijedor],Kozara,Ljubija-Brdo,,44.904562,16.597177,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Dinarides,Sedimentary-exhalative,Pb; Fe; Ba; Zn,galena,4_1,Permian,18.2244,15.5609,38.0431,1.17116589564912,2.444788,0.054871,0.85385,2.087482,216.765,9.543,3.755,352.663,10.554,3.857,262.447,9.497,3.791,292.738,9.578,3.826,TIMS,1985,,"Palinkaš, L. A., 1985, Lead isotope patterns in galenas from some selected ore deposits in Croatia and NW Bosnia, Geološki Vjesnik, 38, 175–89.",
Bosnia and Herzegovina [Bosna i Hercegovina / Босна и Херцеговина],Republika Srpska,City of Prijedor [Grad Prijedor],Kozara,Ljubija-Adamusa,,44.904562,16.597177,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Dinarides,Sedimentary-exhalative,Pb; Fe; Ba; Zn,galena,4_2,Permian,18.1397,15.48,38.1457,1.17181503602745,2.464193,0.055128,0.853377,2.102885,106.097,9.21,3.838,404.43,10.526,3.86,165.492,9.198,3.874,255.453,9.428,3.902,TIMS,1985,,"Palinkaš, L. A., 1985, Lead isotope patterns in galenas from some selected ore deposits in Croatia and NW Bosnia, Geološki Vjesnik, 38, 175–89.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Lebnica,Ruen ore field,42.188601,22.519698000000002,Neighbouring (coordinates Ruen mine),TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,8,Tertiary,18.591,15.683,38.934,1.18542370719888,2.48256073455334,0.053789468022161,0.843580226991555,2.09423914797483,194.935,9.991,4.033,134.731,10.671,3.846,223.283,9.896,4.061,179.596,9.779,4.043,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Lebnica,Ruen ore field,42.188601,22.519698000000002,Neighbouring (coordinates Ruen mine),TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,9,Tertiary,18.59,15.682,38.928,1.18543553118225,2.48233643667899,0.053792361484669,0.843571812802582,2.0940290478752,193.631,9.987,4.03,135.351,10.671,3.846,222.12,9.893,4.058,179.094,9.777,4.041,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Ðuiševo,Ruen ore field,42.188601,22.519698000000002,Neighbouring (coordinates Ruen mine),TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,10,Tertiary,18.589,15.677,38.98,1.18574982458379,2.48644511067168,0.053795255258486,0.843348216687288,2.09693904997579,184.136,9.965,4.056,136.093,10.67,3.846,213.345,9.873,4.084,173.753,9.767,4.063,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Mali Ruen,Ruen ore field,42.150557,22.523897,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,11,Tertiary,18.574,15.684,38.917,1.18426421831166,2.48131854118847,0.053838699257026,0.844406159147195,2.09524065898568,209.484,9.999,4.036,144.72,10.666,3.847,237.653,9.904,4.064,192.789,9.782,4.046,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Belite Sipi; Belite Sipei,Ruen ore field,42.126069,22.594071,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,12,Tertiary,18.588,15.688,38.94,1.18485466598674,2.48215196328404,0.053798149343663,0.843985366903378,2.09489993544222,207.32,10.013,4.04,136.348,10.67,3.846,234.948,9.917,4.068,187.741,9.789,4.049,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Osogovo,Ruen ore field,42.178354,22.514868,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,13,Tertiary,18.587,15.68,38.925,1.18539540816327,2.48246173469388,0.053801043740249,0.843600365847097,2.09420562758917,191.756,9.979,4.03,137.181,10.67,3.846,220.526,9.885,4.058,178.795,9.773,4.041,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Osogovo,Ruen ore field,42.178354,22.514868,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,14,Tertiary,18.586,15.684,38.964,1.18502932925274,2.48431522570773,0.053803938448295,0.84386097062305,2.09641665769934,200.655,9.996,4.053,137.649,10.67,3.846,228.85,9.901,4.08,184.33,9.781,4.059,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Osogovo,Ruen ore field,42.178354,22.514868,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,15,Tertiary,18.583,15.683,38.953,1.18491360071415,2.48377223745457,0.053812624441694,0.843943389119087,2.09616315987731,200.827,9.993,4.049,139.448,10.669,3.847,229.157,9.898,4.076,185.24,9.78,4.056,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Kyustendil [Кюстендил],Osogovo-Besna Kobila,Osogovo,Ruen ore field,42.178354,22.514868,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,16,Tertiary,18.589,15.682,38.94,1.18537176380564,2.48310164519832,0.053795255258486,0.843617192963581,2.09478723976545,194.368,9.987,4.037,135.941,10.67,3.846,222.855,9.893,4.065,179.8,9.777,4.047,TIMS,1992,,"Aleksandrov, M., 1992, Metalogenetske karakteristike polimetaličnog rudnog polja Sase, Istočna Makedonija, PhD thesis, Goce Delčev University, Štip.",
Bulgaria [Бългaрия],,Montana [Монтана],Berkovitsa,Berkovitsa,mean 8 samples,43.234895,23.124983,Placeholder (settlement),,,,Veins,Au,galena,1,Paleozoic,18.143,15.6,38.099,1.16301248144995,2.442244,0.055118,0.859836,2.099928,359.696,9.738,3.856,398.101,10.53,3.86,398.682,9.673,3.889,396.475,9.666,3.905,TIMS,1999,,"Amov, B. G., 1999, Lead isotope data for ore deposits from Bulgaria and the possibility for their use in archaeometry, Berliner Beiträge zur Archäometrie, 16, 5–19.",
Bulgaria [Бългaрия],,Montana [Монтана],Chiprovtsi,Chiprovtsi,Main Ag-Pb ore (galena I generation); mean 5 samples,43.380268,22.901553,Exact/neighbouring,,,,Magmatic carbonate replacement,Pb; Ag,galena,2,Carboniferous,18.262,15.634,38.22,1.16809466239144,2.444672,0.054759,0.856095,2.09287,339.174,9.858,3.855,328.365,10.567,3.856,373.625,9.779,3.887,352.65,9.719,3.9,TIMS,1999,,"Amov, B. G., 1999, Lead isotope data for ore deposits from Bulgaria and the possibility for their use in archaeometry, Berliner Beiträge zur Archäometrie, 16, 5–19.",
Bulgaria [Бългaрия],,Montana [Монтана],Chiprovtsi,Chiprovtsi,Main Ag-Pb ore (galena I generation); mean 6 samples,43.380268,22.901553,Exact/neighbouring,,,,Magmatic carbonate replacement,Pb; Ag,galena,2,Carboniferous,18.29,15.659,38.307,1.16801825846142,2.446325,0.054675,0.856151,2.094423,368.158,9.962,3.893,311.31,10.576,3.855,399.113,9.872,3.924,362.16,9.766,3.929,TIMS,1999,,"Amov, B. G., 1999, Lead isotope data for ore deposits from Bulgaria and the possibility for their use in archaeometry, Berliner Beiträge zur Archäometrie, 16, 5–19.",
Bulgaria [Бългaрия],,Montana [Монтана],Chiprovtsi,Chiprovtsi,Post-skarn mineralization (galena II generation); mean 6 samples,43.380268,22.901553,Exact/neighbouring,,,,Magmatic carbonate replacement,Pb; Ag,galena,3,Carboniferous,18.335,15.652,38.336,1.17141558545008,2.449272,0.05454,0.853668,2.090864,321.127,9.918,3.875,285.477,10.59,3.854,353.229,9.833,3.907,322.602,9.746,3.916,TIMS,1999,,"Amov, B. G., 1999, Lead isotope data for ore deposits from Bulgaria and the possibility for their use in archaeometry, Berliner Beiträge zur Archäometrie, 16, 5–19.",
Bulgaria [Бългaрия],,Montana [Монтана],Chiprovtsi,Chiprovtsi,Post-skarn mineralization (galena II generation); mean 8 samples,43.380268,22.901553,Exact/neighbouring,,,,Magmatic carbonate replacement,Pb; Ag,galena,3,Carboniferous,18.364,15.688,38.411,1.17057639181533,2.448432,0.054454,0.85428,2.091647,370.912,10.072,3.91,267.43,10.6,3.853,398.055,9.97,3.94,344.312,9.814,3.941,TIMS,1999,,"Amov, B. G., 1999, Lead isotope data for ore deposits from Bulgaria and the possibility for their use in archaeometry, Berliner Beiträge zur Archäometrie, 16, 5–19.",
Bulgaria [Бългaрия],,Montana [Монтана],Chiprovtsi,Chiprovtsi,Barite-ankerite mineralization (galena III generation); mean 5 samples,43.380268,22.901553,Exact/neighbouring,,,,Magmatic carbonate replacement,Pb; Ag,galena,4,Carboniferous,18.359,15.636,38.295,1.17414991546121,2.449156,0.054469,0.85168,2.085898,271.031,9.841,3.831,272.077,10.597,3.853,305.566,9.763,3.863,286.902,9.712,3.881,TIMS,1999,,"Amov, B. G., 1999, Lead isotope data for ore deposits from Bulgaria and the possibility for their use in archaeometry, Berliner Beiträge zur Archäometrie, 16, 5–19.",
Bulgaria [Бългaрия],,Burgas [Бургас],Burgas,Meden Rid,Sample 1678,42.397098,27.607586,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Carpatho-Balkanides,Magmatic-hydrothermal veins,Cu; Pb; Zn,galena,9,Mesozoic,18.69,15.634185,38.63223,1.19545726240287,2.47101016138673,0.05350454788657,0.8365,2.067,18.027,9.758,3.793,77.584,10.702,3.843,54.052,9.687,3.825,48.742,9.674,3.849,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,Burgas [Бургас],Burgas,Varly Briag,Sample 62,42.451199,27.375949,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Carpatho-Balkanides,Magmatic-hydrothermal veins,Cu,galena,10,Mesozoic,18.71,15.635947,38.61744,1.19660165131028,2.46978580830442,0.053447354355959,0.8357,2.064,6.652,9.762,3.773,65.642,10.708,3.843,42.463,9.69,3.806,36.522,9.675,3.833,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,Burgas [Бургас],Burgas,Varly Briag,Sample 68,42.451199,27.375949,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Carpatho-Balkanides,Magmatic-hydrothermal veins,Cu,galena,11,Mesozoic,18.71,15.634076,38.59873,1.19674485399713,2.46888463379607,0.053447354355959,0.8356,2.063,2.571,9.754,3.763,65.696,10.708,3.843,38.682,9.683,3.796,34.157,9.672,3.824,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,Burgas [Бургас],Burgas,Varly Briag,Sample 69,42.451199,27.375949,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,Carpatho-Balkanides,Magmatic-hydrothermal veins,Cu,galena,12,Mesozoic,18.7,15.62946,38.6155,1.19645848289064,2.47068676716918,0.053475935828877,0.8358,2.065,0.103,9.736,3.776,71.778,10.705,3.843,36.923,9.667,3.809,35.553,9.663,3.836,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,,Lozen,Lozen,Gallery 1,42.17441,24.152989,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Epithermal (high sulfidation),Pb; Zn; Cu; Ag; Au,,15,Oligocene,18.72,15.653664,38.78784,1.19588615163836,2.477876,0.053419,0.8362,2.072,37.413,9.835,3.861,59.18,10.712,3.842,70.46,9.756,3.892,51.61,9.709,3.903,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,,Lozen,Lozen,"Madanja, shaft 1",42.17441,24.152989,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Epithermal (high sulfidation),Pb; Zn; Cu; Ag; Au,,16,Oligocene,18.72,15.65928,38.80656,1.19545726240287,2.478183,0.053419,0.8365,2.073,49.444,9.859,3.873,59.018,10.712,3.842,81.624,9.778,3.903,58.643,9.72,3.913,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,,Madan,Krusov Dol; Krushev Dol,Level 750,41.445566,24.935661,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic carbonate replacement; magmatic-hydrothermal veins,Pb; Zn; Ag,galena,1,Oligocene,18.75,15.71625,39.05625,1.19303268909568,2.485087,0.053333,0.8382,2.083,146.191,10.099,4.002,39.532,10.722,3.842,170.083,9.993,4.03,,,,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,,Madan,Krusov Dol; Krushev Dol,Level 750,41.445566,24.935661,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic carbonate replacement; magmatic-hydrothermal veins,Pb; Zn; Ag,galena,2,Oligocene,18.73,15.697613,39.03332,1.19317503877819,2.486577,0.05339,0.8381,2.084,122.574,10.023,3.997,51.968,10.716,3.842,149.077,9.924,4.025,99.032,9.793,4.012,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,,Madan,Krusov Dol; Krushev Dol,Level 650,41.445566,24.935661,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic carbonate replacement; magmatic-hydrothermal veins,Pb; Zn; Ag,galena,3,Oligocene,18.74,15.70412,39.01668,1.19331742243437,2.484487,0.053362,0.838,2.082,128.646,10.049,3.984,45.831,10.719,3.842,154.233,9.947,4.012,99.932,9.805,4.001,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
Bulgaria [Бългaрия],,Smolyan [Смолян],Madan,Goljam Palas,Shaft 1,41.481307,24.85524,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic carbonate replacement; magmatic-hydrothermal veins,Pb; Zn; Ag,galena,4,Oligocene,18.75,15.71625,39.05625,1.19303268909568,2.4850870913863,0.053333333333333,0.8382,2.083,146.191,10.099,4.002,39.532,10.722,3.842,170.083,9.993,4.03,,,,TIMS,1974,,"Amov, B., Bogdanov, B., and Baldjieva, T., 1974, Lead isotope composition and some features concerning the genesis and the age of the ore deposits in south Bulgaria, 4th IAGOD Symposium, Varna, Bulgaria.","Taken from Gale, N., Stos-Gale, S., Raduncheva, A., Ivanov, I., Lilov, P., Todorov, T., & Panayotov, I. (2003). Early metallurgy in Bulgaria. In P. Craddock & J. Lang (Eds.), Mining and metal production through the ages (pp. 122–173). British Museum Press."
